;legend;color;marker;linestyle
NL_CHN_T50_abs_L_m2;ATL T50 QUAN m2;#009900FF;;
NL_CHN_T50_abs_L_h;ATL T50 QUAN high;#990000FF;;
NL_CHN_T50_abs_l;NL T50 QUAN low;#000099FF;;
NL_CHN_T50_abs_m2;NL T50 QUAN m2;#009900FF;;
NL_CHN_T50_abs_h;NL T50 QUAN high;#990000FF;;
NL_CHN_T50_int;NL T50 INT;#00000075;;
NL_CHN_T50_int_L;ATL T50 INT;violet;;
NL_CHN_T50_int_L_l;ATL T50 INT low;#00009960;;
NL_CHN_T50_int_L_m2;ATL T50 INT m2;#00990060;;
NL_CHN_T50_int_L_h;ATL T50 INT high;#99000060;;
NL_CHN_T50_int_l;NL T50 INT low;#00009960;;
NL_CHN_T50_int_m2;NL T50 INT m2;#00990060;;
NL_CHN_T50_int_h;NL T50 INT high;#99000060;;
NL_CHN_T30_abs;NL T30 QUAN;orange1;;
NL_CHN_T30_abs_L;ATL T30 QUAN;violet;;
NL_CHN_T30_abs_L_l;ATL T30 QUAN low;#000099FF;;
NL_CHN_T30_abs_L_m2;ATL T30 QUAN m2;#009900FF;;
NL_CHN_T30_abs_L_h;ATL T30 QUAN high;#990000FF;;
NL_CHN_T30_abs_l;NL T30 QUAN low;#000099FF;;
NL_CHN_T30_abs_m2;NL T30 QUAN m2;#009900FF;;
NL_CHN_T30_abs_h;NL T30 QUAN high;#990000FF;;
NL_CHN_T30_int;NL T30 INT;#00000075;;
NL_CHN_T30_int_L;ATL T30 INT;violet;;
NL_CHN_T30_int_L_l;ATL T30 INT low;#00009960;;
NL_CHN_T30_int_L_m2;ATL T30 INT m2;#00990060;;
NL_CHN_T30_int_L_h;ATL T30 INT high;#99000060;;
NL_CHN_T30_int_l;NL T30 INT low;#00009960;;
NL_CHN_T30_int_m2;NL T30 INT m2;#00990060;;
NL_CHN_T30_int_h;NL-High T30 INT;#99000060;;
LTA_BAU_l;Base-Low;#00009940;;
LTA_BAU_h;Base-High;#99000040;;
